,Name,Data Type,Task Type,Attribute Types,Number of Instances,Number of Attributes,Year
388,Burst Header Packet (BHP) flooding attack on Optical Burst Switching (OBS) Network,Text ,Classification ,Integer ,1075 ,22 ,2017 
389,Motion Capture Hand Postures,Multivariate ,"Classification, Clustering ",Real ,78095 ,38 ,2017 
390,Anuran Calls (MFCCs),Multivariate ,"Classification, Clustering ",Real ,7195 ,22 ,2017 
391,TTC-3600: Benchmark dataset for Turkish text categorization,Text ,"Classification, Clustering ",Integer ,3600 ,4814 ,2017 
392,Gastrointestinal Lesions in Regular Colonoscopy,Multivariate ,Classification ,Real ,76 ,698 ,2016 
393,Daily Demand Forecasting Orders,Time-Series ,Regression ,Integer ,60 ,13 ,2017 
394,Paper Reviews,Text ,"Classification, Regression ",Integer ,405 ,10 ,2017 
395,extention of Z-Alizadeh sani dataset, ,Classification ,"Integer, Real ",303 ,59 ,2017 
396,Z-Alizadeh Sani, ,Classification ,"Integer, Real ",303 ,56 ,2017 
397,Dynamic Features of VirusShare Executables,"Multivariate, Time-Series ","Classification, Regression ",Integer ,107888 ,482 ,2017 
398,IDA2016Challenge,Multivariate ,Classification ,Integer ,76000 ,171 ,2017 
399,DSRC Vehicle Communications,"Sequential, Text ",Clustering ,Real ,10000 ,5 ,2017 
400,Mturk User-Perceived Clusters over Images,"Multivariate, Text ",Clustering ,Integer ,180 ,500 ,2016 
401,Character Font Images,Multivariate ,Classification ,"Integer, Real ",745000 ,411 ,2016 
402,DeliciousMIL: A Data Set for Multi-Label Multi-Instance Learning with Instance Labels,Text ,Classification ,Integer ,12234 ,8519 ,2016 
403,Autistic Spectrum Disorder Screening Data for Children,Multivariate ,Classification ,Integer ,292 ,21 ,2017 
404,Autistic Spectrum Disorder Screening Data for Adolescent,Multivariate ,Classification ,Integer ,104 ,21 ,2017 
405,APS Failure at Scania Trucks,Multivariate ,Classification ,"Integer, Real ",60000 ,171 ,2017 
406,Wireless Indoor Localization,Multivariate ,Classification ,Real ,2000 ,7 ,2017 
407,HCC Survival,Multivariate ,Classification ,"Integer, Real ",165 ,49 ,2017 
408,CSM (Conventional and Social Media Movies) Dataset 2014 and 2015,Multivariate ,"Classification, Regression ",Integer ,217 ,12 ,2017 
409,University of Tehran Question Dataset 2016 (UTQD.2016),Text ,Classification , ,1175 ,3 ,2017 
410,Autism Screening Adult, ,Classification ,Integer ,704 ,21 ,2017 
411,Activity recognition with healthy older people using a batteryless wearable sensor,Sequential ,Classification ,Real ,75128 ,9 ,2016 
412,Immunotherapy Dataset,Univariate ,Classification ,"Integer, Real ",90 ,8 ,2018 
413,Cryotherapy Dataset,Univariate ,Classification ,"Integer, Real ",90 ,7 ,2018 
414,OCT data & Color Fundus Images of Left & Right Eyes,Multivariate ,Classification ,Real ,50 ,2 ,2016 
415,Discrete Tone Image Dataset,Multivariate ,Classification , ,71 ,11 ,2018 
416,News Popularity in Multiple Social Media Platforms,"Multivariate, Time-Series, Text ",Regression ,"Integer, Real ",93239 ,11 ,2018 
417,Ultrasonic flowmeter diagnostics,Multivariate ,Classification ,Real ,540 ,173 ,2018 
418,ICMLA 2014 Accepted Papers Data Set,Multivariate ,"Classification, Clustering ", ,105 ,5 ,2018 
419,BLE RSSI Dataset for Indoor localization and Navigation,"Multivariate, Sequential, Time-Series ","Classification, Clustering ",Integer ,6611 ,15 ,2018 
420,Container Crane Controller Data Set,"Univariate, Domain-Theory ","Classification, Regression ",Real ,15 ,3 ,2018 
421,Residential Building Data Set,Multivariate ,Regression ,Real ,372 ,105 ,2018 
422,Health News in Twitter,Text ,Clustering ,Real ,58000 ,25000 ,2018 
423,chipseq,Sequential ,Classification ,Integer ,4960 , ,2018 
424,SGEMM GPU kernel performance,Multivariate ,Regression ,Integer ,241600 ,18 ,2018 
425,Repeat Consumption Matrices,Multivariate ,Clustering ,Real ,130000 ,21000 ,2018 
426,detection_of_IoT_botnet_attacks_N_BaIoT,"Multivariate, Sequential ","Classification, Clustering ",Real ,7062606 ,115 ,2018 
427,Absenteeism at work,"Multivariate, Time-Series ","Classification, Clustering ","Integer, Real ",740 ,21 ,2018 
428,SCADI,Multivariate ,"Classification, Clustering ", ,70 ,206 ,2018 
429,Condition monitoring of hydraulic systems,"Multivariate, Time-Series ","Classification, Regression ",Real ,2205 ,43680 ,2018 
430,Carbon Nanotubes,Univariate ,Regression ,Real ,10721 ,8 ,2018 
431,Optical Interconnection Network,Multivariate ,"Classification, Regression ","Integer, Real ",640 ,10 ,2018 
432,Sports articles for objectivity analysis,"Multivariate, Text ",Classification ,Integer ,1000 ,59 ,2018 
433,Breast Cancer Coimbra,Multivariate ,Classification ,Integer ,116 ,10 ,2018 
434,GNFUV Unmanned Surface Vehicles Sensor Data,"Multivariate, Time-Series ",Regression ,Real ,1672 ,5 ,2018 
435,Dishonest Internet users Dataset,Multivariate ,"Classification, Clustering ", ,322 ,5 ,2018 
436,Victorian Era Authorship Attribution,Text ,Classification , ,93600 ,1000 ,2018 
437,Simulated Falls and Daily Living Activities Data Set,Time-Series ,Classification ,Integer ,3060 ,138 ,2018 
438,Multimodal Damage Identification for Humanitarian Computing,"Multivariate, Text ",Classification ,Integer ,5879 , ,2018 
439,EEG Steady-State Visual Evoked Potential Signals,"Multivariate, Time-Series ","Classification, Regression ",Integer ,9200 ,16 ,2018 
440,Roman Urdu Data Set,Text ,Classification , ,20000 ,2 ,2018 
441,Avila,Multivariate ,Classification ,Real ,20867 ,10 ,2018 
442,PANDOR,Multivariate ,Recommendation ,Categorical , , ,2018 
443,Drug Review Dataset (Druglib.com),"Multivariate, Text ","Classification, Regression, Clustering ",Integer ,4143 ,8 ,2018 
444,Drug Review Dataset (Drugs.com),"Multivariate, Text ","Classification, Regression, Clustering ",Integer ,215063 ,6 ,2018 
445,Physical Unclonable Functions,Multivariate ,Classification ,Integer ,6000000 ,129 ,2018 
446,Superconductivty Data,Multivariate ,Regression ,Real ,21263 ,81 ,2018 
447,WESAD (Wearable Stress and Affect Detection),"Multivariate, Time-Series ","Classification, Regression ",Real ,63000000 ,12 ,2018 
448,GNFUV Unmanned Surface Vehicles Sensor Data Set 2,"Multivariate, Sequential, Time-Series ",Regression ,Real ,10190 ,6 ,2018 
449,Student Academics Performance,Multivariate ,Classification , ,300 ,22 ,2018 
450,Online Shoppers Purchasing Intention Dataset,Multivariate ,"Classification, Clustering ","Integer, Real ",12330 ,18 ,2018 
451,PMU-UD,Univariate ,Classification , ,5180 ,9 ,2018 
452,Parkinson's Disease Classification,Multivariate ,Classification ,"Integer, Real ",756 ,754 ,2018 
453,Electrical Grid Stability Simulated Data,Multivariate ,"Classification, Regression ",Real ,10000 ,14 ,2018 
454,Caesarian Section Classification Dataset,Univariate ,Classification ,Integer ,80 ,5 ,2018 
455,BAUM-1,Time-Series ,Classification , ,1184 , ,2018 
456,BAUM-2,Time-Series ,Classification , ,1047 , ,2018 
457,Audit Data,Multivariate ,Classification ,Real ,777 ,18 ,2018 
458,BuddyMove Data Set,"Multivariate, Text ","Classification, Clustering ",Real ,249 ,7 ,2018 
459,Real estate valuation data set,Multivariate ,Regression ,"Integer, Real ",414 ,7 ,2018 
460,Early biomarkers of Parkinson’s disease based on natural connected speech Data Set,Multivariate ,Classification ,Real , , ,2018 
461,Somerville Happiness Survey, ,Classification ,Integer ,143 ,7 ,2018 
462,2.4 GHZ Indoor Channel Measurements,Multivariate ,Classification ,Real ,7840 ,5 ,2018 
463,EMG data for gestures,Time-Series ,Classification ,Real ,30000 ,6 ,2019 
464,Parking Birmingham,"Multivariate, Univariate, Sequential, Time-Series ","Classification, Regression, Clustering ",Real ,35717 ,4 ,2019 
465,Behavior of the urban traffic of the city of Sao Paulo in Brazil,"Multivariate, Time-Series ","Classification, Regression ","Integer, Real ",135 ,18 ,2018 
466,Travel Reviews,"Multivariate, Text ","Classification, Clustering ",Real ,980 ,11 ,2018 
467,Tarvel Review Ratings,"Multivariate, Text ","Classification, Clustering ",Real ,5456 ,25 ,2018 
468,Rice Leaf Diseases,Multivariate ,Classification ,Integer ,120 , ,2019 
469,Gas sensor array temperature modulation,"Multivariate, Time-Series ","Classification, Regression ",Real ,4095000 ,20 ,2019 
470,Facebook Live Sellers in Thailand,Multivariate ,Clustering ,Integer ,7051 ,12 ,2019 
471,Parkinson Dataset with replicated acoustic features,Multivariate ,Classification , ,240 ,46 ,2019 
472,Metro Interstate Traffic Volume,"Multivariate, Sequential, Time-Series ",Regression ,"Integer, Real ",48204 ,9 ,2019 
473,Query Analytics Workloads Dataset,Multivariate ,"Regression, Clustering ",Real ,260000 ,8 ,2019 
474,Wave Energy Converters,Multivariate ,Regression ,Real ,288000 ,49 ,2019 
475,PPG-DaLiA,"Multivariate, Time-Series ",Regression ,Real ,8300000 ,11 ,2019 
476,Alcohol QCM Sensor Dataset,Multivariate ,"Classification, Regression, Clustering ",Real ,125 ,8 ,2019 
477,Divorce Predictors data set,"Multivariate, Univariate ",Classification ,Integer ,170 ,54 ,2019 
478,Incident management process enriched event log,"Multivariate, Sequential ","Regression, Clustering ",Integer ,141712 ,36 ,2019 
479,Opinion Corpus for Lebanese Arabic Reviews (OCLAR),Text ,Classification ,Integer ,3916 ,3916 ,2019 
480,MEx,Time-Series ,"Classification, Clustering ",Real ,6262 ,710 ,2019 
481,Beijing Multi-Site Air-Quality Data,"Multivariate, Time-Series ",Regression ,"Integer, Real ",420768 ,18 ,2019 
482,Online Retail II,"Multivariate, Sequential, Time-Series, Text ","Classification, Regression, Clustering ","Integer, Real ",1067371 ,8 ,2019 
483,Hepatitis C Virus (HCV) for Egyptian patients,Multivariate ,Classification ,"Integer, Real ",1385 ,29 ,2019 
484,QSAR fish toxicity,Multivariate ,Regression ,Real ,908 ,7 ,2019 
485,QSAR aquatic toxicity,Multivariate ,Regression ,Real ,546 ,9 ,2019 
486,Human Activity Recognition from Continuous Ambient Sensor Data,"Multivariate, Sequential, Time-Series ",Classification ,"Integer, Real ",13956534 ,37 ,2019 
487,WISDM Smartphone and Smartwatch Activity and Biometrics Dataset,"Multivariate, Time-Series ",Classification ,Real ,15630426 ,6 ,2019 
488,QSAR oral toxicity,Multivariate ,Classification , ,8992 ,1024 ,2019 
489,QSAR androgen receptor,Multivariate ,Classification , ,1687 ,1024 ,2019 
490,QSAR Bioconcentration classes dataset,Multivariate ,"Classification, Regression ", ,779 ,14 ,2019 
491,QSAR fish bioconcentration factor (BCF),Multivariate ,Regression ,"Integer, Real ",1056 ,7 ,2019 
492,A study of Asian Religious and Biblical Texts,"Multivariate, Text ","Classification, Clustering ",Integer ,590 ,8265 ,2019 
493,Real-time Election Results: Portugal 2019,"Multivariate, Time-Series, Text ",Regression ,"Integer, Real ",21643 ,29 ,2019 
494,Bias correction of numerical prediction model temperature forecast,Multivariate ,Regression ,Real ,7750 ,25 ,2020 
495,Bar Crawl: Detecting Heavy Drinking,"Multivariate, Time-Series ","Classification, Regression ",Real ,14057567 ,3 ,2020 
496,Kitsune Network Attack Dataset,"Multivariate, Sequential, Time-Series ","Classification, Clustering, Causal-Discovery ",Real ,27170754 ,115 ,2019 
497,Shoulder Implant X-Ray Manufacturer Classification,Multivariate ,Classification ,Real ,597 ,1 ,2020 
498,Speaker Accent Recognition,Multivariate ,Classification ,Real ,329 ,12 ,2020 
499,Heart failure clinical records,Multivariate ,"Classification, Regression, Clustering ","Integer, Real ",299 ,13 ,2020 
500,Deepfakes: Medical Image Tamper Detection,Multivariate ,Classification ,Real ,20000 ,200000 ,2020 
501,selfBACK,Time-Series ,"Classification, Clustering ",Real ,26136 ,6 ,2020 
502,South German Credit,Multivariate ,"Classification, Regression, Clustering ","Integer, Real ",1000 ,21 ,2019 
503,Exasens,Multivariate ,"Classification, Clustering ",Integer ,399 ,4 ,2020 
504,Swarm Behaviour,Multivariate ,Classification ,Real ,24017 ,2400 ,2020 
505,Crop mapping using fused optical-radar data set,"Multivariate, Time-Series ",Classification ,Real ,325834 ,175 ,2020 
506,BitcoinHeistRansomwareAddressDataset,"Multivariate, Time-Series ","Classification, Clustering ","Integer, Real ",2916697 ,10 ,2020 
507,Facebook Large Page-Page Network,Multivariate ,Classification , ,22470 ,4714 ,2020 
508,Amphibians,Multivariate ,Classification ,"Integer, Real ",189 ,23 ,2020 
509,Early stage diabetes risk prediction dataset.,Multivariate ,Classification , ,520 ,17 ,2020 
510,Turkish Spam V01,Text ,Classification , ,826 ,2 ,2019 
511,Stock keeping units,Multivariate ,Clustering ,"Integer, Real ",2279 ,9 ,2019 
512,Demand Forecasting for a store,Multivariate ,Regression ,Integer ,28764 ,8 ,2019 
513,Detect Malware Types,"Multivariate, Time-Series, Text ",Classification , ,7107 ,280 ,2019 
514,Wave Energy Converters,Multivariate ,Regression ,Real ,288000 ,49 ,2019 
515,Youtube cookery channels viewers comments in Hinglish,"Multivariate, Text ",Classification , ,9800 ,3 ,2019 
516,Pedestrian in Traffic Dataset,"Multivariate, Sequential, Time-Series ","Classification, Regression, Causal-Discovery ",Real ,4760 ,14 ,2019 
517,Cervical Cancer Behavior Risk,"Multivariate, Univariate ","Classification, Clustering ",Integer ,72 ,19 ,2019 
518,Sattriya_Dance_Single_Hand_Gestures Dataset,Multivariate ,Classification , ,1450 , ,2019 
519,Divorce Predictors data set,"Multivariate, Univariate ",Classification ,Integer ,170 ,54 ,2019 
520,3W dataset,"Multivariate, Time-Series ","Classification, Clustering ","Integer, Real ",1984 ,8 ,2019 
521,Malware static and dynamic features VxHeaven and Virus Total,Multivariate ,Classification ,"Integer, Real ",2955 ,1087 ,2019 
522,Internet Firewall Data,Multivariate ,Classification , ,65532 ,12 ,2019 
523,User Profiling and Abusive Language Detection Dataset, ,Classification , ,65919 ,3 ,2019 
524,Estimation of obesity levels based on eating habits and physical condition,Multivariate ,"Classification, Regression, Clustering ",Integer ,2111 ,17 ,2019 
525,Rice (Cammeo and Osmancik),Multivariate ,Classification ,Real ,3810 ,8 ,2019 
526,Vehicle routing and scheduling problems,Multivariate ,Clustering ,"Integer, Real ",18 ,9 ,2019 
527,Algerian Forest Fires Dataset,Multivariate ,"Classification, Regression ",Real ,244 ,12 ,2019 
528,Breath Metabolomics,"Multivariate, Time-Series ","Classification, Clustering ",Real ,104 ,1656 ,2019 
529,Horton General Hospital,"Multivariate, Time-Series ",Causal-Discovery ,Integer ,139 ,6 ,2019 
530,"UrbanGB, urban road accidents coordinates labelled by the urban center",Univariate ,Clustering ,Real ,360177 ,2 ,2019 
531,Gas Turbine CO and NOx Emission Data Set,Multivariate ,"Regression, Clustering ",Real ,36733 ,11 ,2019 
532,Activity recognition using wearable physiological measurements,Multivariate ,Classification ,Real ,4480 ,533 ,2019 
533,clickstream data for online shopping,"Multivariate, Sequential ","Classification, Regression, Clustering ","Integer, Real ",165474 ,14 ,2019 
534,CNNpred: CNN-based stock market prediction using a diverse set of variables,"Sequential, Time-Series ","Classification, Regression ",Real ,1985 ,84 ,2019 
535,Apartment for rent classified,Multivariate ,"Classification, Regression, Clustering ", ,10000 ,22 ,2019 
536,: Simulated Data set of Iraqi tourism places,Multivariate ,"Classification, Clustering ", ,232 ,16 ,2020 
537,Nasarian CAD Dataset,Multivariate ,Classification , ,150 ,52 ,2020 
538,Monolithic Columns in Troad and Mysia Region,Multivariate ,Classification ,Real ,11 ,19 ,2020 
539,Bar Crawl: Detecting Heavy Drinking,"Multivariate, Time-Series ","Classification, Regression ",Real ,14057567 ,3 ,2020 
540,Seoul Bike Sharing Demand,Multivariate ,Regression ,"Integer, Real ",8760 ,14 ,2020 
541,Person Classification Gait Data,Multivariate ,Classification ,Real ,48 ,321 ,2020 
542,Shill Bidding Dataset,Multivariate ,"Classification, Clustering ", ,6321 ,13 ,2020 
543,Iranian Churn Dataset,Multivariate ,"Classification, Regression ",Integer ,3150 ,13 ,2020 
544,Unmanned Aerial Vehicle (UAV) Intrusion Detection,Multivariate ,Classification ,Real ,17256 ,55 ,2020 
545,Bone marrow transplant: children,Multivariate ,"Classification, Regression ","Integer, Real ",187 ,39 ,2020 
546,Exasens,Multivariate ,"Classification, Clustering ",Integer ,399 ,4 ,2020 
547,COVID-19 Surveillance,Multivariate ,Classification , ,14 ,7 ,2020 
548,Refractive errors,Multivariate ,Classification ,Integer ,467 ,79 ,2020 
549,Shoulder Implant X-Ray Manufacturer Classification,Multivariate ,Classification ,Real ,597 ,1 ,2020 
550,CLINC150,Text ,Classification , ,23700 , ,2020 
551,HCV data,Multivariate ,"Classification, Clustering ","Integer, Real ",615 ,14 ,2020 
552,Taiwanese Bankruptcy Prediction,Multivariate ,Classification ,Integer ,6819 ,96 ,2020 
553,South German Credit (UPDATE),Multivariate ,"Classification, Regression, Clustering ","Integer, Real ",1000 ,21 ,2020 
554,IIWA14-R820-Gazebo-Dataset-10Trajectories, ,Regression ,Integer , , ,2020 
555,Guitar Chords finger positions,Text ,Classification , ,2633 ,5 ,2020 
556,Russian Corpus of Biographical Texts,Text ,Classification , ,200 ,2 ,2020 
557,Codon usage,Multivariate ,"Classification, Clustering ", ,13028 ,69 ,2020 
558,Intelligent Media Accelerometer and Gyroscope (IM-AccGyro) Dataset,Time-Series ,Classification ,Real ,800 ,9 ,2020 
559,Myocardial infarction complications,Multivariate ,Classification ,Real ,1700 ,124 ,2020 
560,Hungarian Chickenpox Cases,Time-Series ,Regression ,Real ,521 ,20 ,2021 
561,Simulated data for survival modelling,"Multivariate, Time-Series ",Regression ,"Integer, Real ",120000 ,25 ,2018 
562,Student Performance on an entrance examination,Multivariate ,Classification , ,666 ,11 ,2018 
563,Chemical Composition of Ceramic Samples,Multivariate ,"Classification, Clustering ",Real ,88 ,19 ,2019 
564,Labeled Text Forum Threads Dataset,Text ,Classification ,Integer ,200 ,9 ,2019 
565,Stock keeping units,Multivariate ,Clustering ,"Integer, Real ",2279 ,9 ,2019 
566,BLE RSSI dataset for Indoor localization,"Sequential, Time-Series ",Classification ,Integer ,23570 ,5 ,2019 
567,Basketball dataset,Time-Series ,Classification ,Integer ,10000 ,7 ,2019 
568,GitHub MUSAE,Multivariate ,Classification , ,37700 ,4006 ,2019 
569,Anticancer peptides,Sequential ,Classification , ,1850 ,2 ,2019 
570,Monolithic Columns in Troad and Mysia Region,Multivariate ,Classification ,Real ,11 ,19 ,2020 
571,Gender by Name,Text ,"Classification, Clustering ", ,147270 ,4 ,2020 
572,Iranian Churn Dataset,Multivariate ,"Classification, Regression ",Integer ,3150 ,13 ,2020 
573,Unmanned Aerial Vehicle (UAV) Intrusion Detection,Multivariate ,Classification ,Real ,17256 ,55 ,2020 
574,Shoulder Implant Manufacture Classification,Multivariate ,Classification , ,597 ,1 ,2020 
575,LastFM Asia Social Network,Multivariate ,Classification , ,7624 ,7842 ,2020 
576,Wheat kernels,Multivariate ,Classification ,Real ,314 ,15 ,2020 
577,Productivity Prediction of Garment Employees,"Multivariate, Time-Series ","Classification, Regression ","Integer, Real ",1197 ,15 ,2020 
578,Multi-view Brain Networks,Multivariate ,"Classification, Clustering ",Integer ,70 ,70 ,2020 
579,LastFM Asia Social Network,Multivariate ,Classification , ,7624 ,7842 ,2020 
580,Wisesight Sentiment Corpus,"Multivariate, Text ",Classification , ,26737 ,4 ,2020 
581,AI4I 2020 Predictive Maintenance Dataset,"Multivariate, Time-Series ","Classification, Regression, Causal-Discovery ",Real ,10000 ,14 ,2020 
582,Dry Bean Dataset,Multivariate ,Classification ,"Integer, Real ",13611 ,17 ,2020 
583,in-vehicle coupon recommendation,Multivariate ,Classification , ,12684 ,23 ,2020 
584,Gait Classification,Multivariate ,Classification ,Real ,48 ,321 ,2020 
